name,surname,born,died,birthplace,motivation,category,year
Arne,Tiselius,1902-08-10,1971-10-29,Sweden,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",chemistry,1948
William F.,Giauque,1895-05-12,1982-03-28,Canada,"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures",chemistry,1949
Otto,Diels,1876-01-23,1954-03-07,Germany,for their discovery and development of the diene synthesis,chemistry,1950
Kurt,Alder,1902-07-10,1958-06-20,Prussia (now Poland),for their discovery and development of the diene synthesis,chemistry,1950
Edwin M.,McMillan,1907-09-18,1991-09-07,USA,for their discoveries in the chemistry of the transuranium elements,chemistry,1951
Glenn T.,Seaborg,1912-04-19,1999-02-25,USA,for their discoveries in the chemistry of the transuranium elements,chemistry,1951
Archer J.P.,Martin,1910-03-01,2002-07-28,United Kingdom,for their invention of partition chromatography,chemistry,1952
Richard L.M.,Synge,1914-10-28,1994-08-18,United Kingdom,for their invention of partition chromatography,chemistry,1952
Hermann,Staudinger,1881-03-23,1965-09-08,Germany,for his discoveries in the field of macromolecular chemistry,chemistry,1953
Linus,Pauling,1901-02-28,1994-08-19,USA,for his fight against the nuclear arms race between East and West,peace,1962
Linus,Pauling,1901-02-28,1994-08-19,USA,for his fight against the nuclear arms race between East and West,peace,1962
Vincent,du Vigneaud,1901-05-18,1978-12-11,USA,"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone",chemistry,1955
Sir Cyril,Hinshelwood,1897-05-19,1967-10-09,United Kingdom,for their researches into the mechanism of chemical reactions,chemistry,1956
Nikolay,Semenov,1896-04-03,1986-09-25,Russia,for their researches into the mechanism of chemical reactions,chemistry,1956
Lord,Todd,1907-10-02,1997-01-10,Scotland,for his work on nucleotides and nucleotide co-enzymes,chemistry,1957
Frederick,Sanger,1918-08-13,2013-11-19,United Kingdom,"for his work on the structure of proteins, especially that of insulin",chemistry,1958
Frederick,Sanger,1918-08-13,2013-11-19,United Kingdom,"for his work on the structure of proteins, especially that of insulin",chemistry,1958
Jaroslav,Heyrovsky,1890-12-20,1967-03-27,Austria-Hungary (now Czech Republic),for his discovery and development of the polarographic methods of analysis,chemistry,1959
Willard F.,Libby,1908-12-17,1980-09-08,USA,"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science",chemistry,1960
Melvin,Calvin,1911-04-08,1997-01-08,USA,for his research on the carbon dioxide assimilation in plants,chemistry,1961
Max F.,Perutz,1914-05-19,2002-02-06,Austria,for their studies of the structures of globular proteins,chemistry,1962
John C.,Kendrew,1917-03-24,1997-08-23,United Kingdom,for their studies of the structures of globular proteins,chemistry,1962
Karl,Ziegler,1898-11-26,1973-08-12,Germany,for their discoveries in the field of the chemistry and technology of high polymers,chemistry,1963
Giulio,Natta,1903-02-26,1979-05-02,Italy,for their discoveries in the field of the chemistry and technology of high polymers,chemistry,1963
Dorothy Crowfoot,Hodgkin,1910-05-12,1994-07-29,Egypt,for her determinations by X-ray techniques of the structures of important biochemical substances,chemistry,1964
Robert B.,Woodward,1917-04-10,1979-07-08,USA,for his outstanding achievements in the art of organic synthesis,chemistry,1965
Robert S.,Mulliken,1896-06-07,1986-10-31,USA,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method,chemistry,1966
Manfred,Eigen,1927-05-09,2019-02-06,Germany,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",chemistry,1967
Ronald G.W.,Norrish,1897-11-09,1978-06-07,United Kingdom,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",chemistry,1967
George,Porter,1920-12-06,2002-08-31,United Kingdom,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",chemistry,1967
Lars,Onsager,1903-11-27,1976-10-05,Norway,"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes",chemistry,1968
Derek,Barton,1918-09-08,1998-03-16,United Kingdom,for their contributions to the development of the concept of conformation and its application in chemistry,chemistry,1969
Odd,Hassel,1897-05-17,1981-05-11,Norway,for their contributions to the development of the concept of conformation and its application in chemistry,chemistry,1969
Luis,Leloir,1906-09-06,1987-12-02,France,for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates,chemistry,1970
Gerhard,Herzberg,1904-12-25,1999-03-03,Germany,"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals",chemistry,1971
Christian,Anfinsen,1916-03-26,1995-05-14,USA,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation",chemistry,1972
Stanford,Moore,1913-09-04,1982-08-23,USA,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,chemistry,1972
William H.,Stein,1911-06-25,1980-02-02,USA,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,chemistry,1972
Ernst Otto,Fischer,1918-11-10,2007-07-23,Germany,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",chemistry,1973
Geoffrey,Wilkinson,1921-07-14,1996-09-26,United Kingdom,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",chemistry,1973
Paul J.,Flory,1910-06-19,1985-09-08,USA,"for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules",chemistry,1974
John,Cornforth,1917-09-07,2013-12-08,Australia,for his work on the stereochemistry of enzyme-catalyzed reactions,chemistry,1975
Vladimir,Prelog,1906-07-23,1998-01-07,Austria-Hungary (now Bosnia and Herzegovina),for his research into the stereochemistry of organic molecules and reactions,chemistry,1975
William,Lipscomb,1919-12-09,2011-04-14,USA,for his studies on the structure of boranes illuminating problems of chemical bonding,chemistry,1976
Ilya,Prigogine,1917-01-25,2003-05-28,Russia,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures",chemistry,1977
Peter,Mitchell,1920-09-29,1992-04-10,United Kingdom,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory,chemistry,1978
Herbert C.,Brown,1912-05-22,2004-12-19,United Kingdom,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",chemistry,1979
Georg,Wittig,1897-06-16,1987-08-26,Germany,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",chemistry,1979
Paul,Berg,1926-06-30,0000-00-00,USA,"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA",chemistry,1980
Walter,Gilbert,1932-03-21,0000-00-00,USA,for their contributions concerning the determination of base sequences in nucleic acids,chemistry,1980
Kenichi,Fukui,1918-10-04,1998-01-09,Japan,"for their theories, developed independently, concerning the course of chemical reactions",chemistry,1981
Roald,Hoffmann,1937-07-18,0000-00-00,Poland (now Ukraine),"for their theories, developed independently, concerning the course of chemical reactions",chemistry,1981
Aaron,Klug,1926-08-11,2018-11-20,Lithuania,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,chemistry,1982
Henry,Taube,1915-11-30,2005-11-16,Canada,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes",chemistry,1983
Bruce,Merrifield,1921-07-15,2006-05-14,USA,for his development of methodology for chemical synthesis on a solid matrix,chemistry,1984
Herbert A.,Hauptman,1917-02-14,2011-10-23,USA,for their outstanding achievements in the development of direct methods for the determination of crystal structures,chemistry,1985
Jerome,Karle,1918-06-18,2013-06-06,USA,for their outstanding achievements in the development of direct methods for the determination of crystal structures,chemistry,1985
Dudley R.,Herschbach,1932-06-18,0000-00-00,USA,for their contributions concerning the dynamics of chemical elementary processes,chemistry,1986
Yuan T.,Lee,1936-11-19,0000-00-00,Taiwan,for their contributions concerning the dynamics of chemical elementary processes,chemistry,1986
John C.,Polanyi,1929-01-23,0000-00-00,Germany,for their contributions concerning the dynamics of chemical elementary processes,chemistry,1986
Donald J.,Cram,1919-04-22,2001-06-17,USA,for their development and use of molecules with structure-specific interactions of high selectivity,chemistry,1987
Jean-Marie,Lehn,1939-09-30,0000-00-00,France,for their development and use of molecules with structure-specific interactions of high selectivity,chemistry,1987
Charles J.,Pedersen,1904-10-03,1989-10-26,Korea (now South Korea),for their development and use of molecules with structure-specific interactions of high selectivity,chemistry,1987
Johann,Deisenhofer,1943-09-30,0000-00-00,Germany,for the determination of the three-dimensional structure of a photosynthetic reaction centre,chemistry,1988
Robert,Huber,1937-02-20,0000-00-00,Germany,for the determination of the three-dimensional structure of a photosynthetic reaction centre,chemistry,1988
Hartmut,Michel,1948-07-18,0000-00-00,West Germany (now Germany),for the determination of the three-dimensional structure of a photosynthetic reaction centre,chemistry,1988
Sidney,Altman,1939-05-07,2022-04-05,Canada,for their discovery of catalytic properties of RNA,chemistry,1989
Thomas R.,Cech,1947-12-08,0000-00-00,USA,for their discovery of catalytic properties of RNA,chemistry,1989
Elias James,Corey,1928-07-12,0000-00-00,USA,for his development of the theory and methodology of organic synthesis,chemistry,1990
Richard R.,Ernst,1933-08-14,2021-06-04,Switzerland,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,chemistry,1991
Rudolph A.,Marcus,1923-07-21,0000-00-00,Canada,for his contributions to the theory of electron transfer reactions in chemical systems,chemistry,1992
Kary B.,Mullis,1944-12-28,2019-08-07,USA,for his invention of the polymerase chain reaction (PCR) method,chemistry,1993
Michael,Smith,1932-04-26,2000-10-04,United Kingdom,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies",chemistry,1993
George A.,Olah,1927-05-22,2017-03-08,Hungary,for his contribution to carbocation chemistry,chemistry,1994
Paul J.,Crutzen,1933-12-03,2021-01-28,the Netherlands,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",chemistry,1995
Mario J.,Molina,1943-03-19,2020-10-07,Mexico,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",chemistry,1995
F. Sherwood,Rowland,1927-06-28,2012-03-10,USA,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",chemistry,1995
Robert F.,Curl Jr.,1933-08-23,2022-07-03,USA,for their discovery of fullerenes,chemistry,1996
Sir Harold,Kroto,1939-10-07,2016-04-30,United Kingdom,for their discovery of fullerenes,chemistry,1996
Richard E.,Smalley,1943-06-06,2005-10-28,USA,for their discovery of fullerenes,chemistry,1996
Paul D.,Boyer,1918-07-31,2018-06-02,USA,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),chemistry,1997
John E.,Walker,1941-01-07,0000-00-00,United Kingdom,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),chemistry,1997
Jens C.,Skou,1918-10-08,2018-05-28,Denmark,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase",chemistry,1997
Walter,Kohn,1923-03-09,2016-04-19,Austria,for his development of the density-functional theory,chemistry,1998
John,Pople,1925-10-31,2004-03-15,United Kingdom,for his development of computational methods in quantum chemistry,chemistry,1998
Ahmed,Zewail,1946-02-26,2016-08-02,Egypt,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,chemistry,1999
Emil,von Behring,1854-03-15,1917-03-31,Prussia (now Poland),"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",medicine,1901
Ronald,Ross,1857-05-13,1932-09-16,India,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",medicine,1902
Niels Ryberg,Finsen,1860-12-15,1904-09-24,Faroe Islands (Denmark),"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",medicine,1903
Ivan,Pavlov,1849-09-14,1936-02-27,Russia,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",medicine,1904
Robert,Koch,1843-12-11,1910-05-27,Germany,for his investigations and discoveries in relation to tuberculosis,medicine,1905
Camillo,Golgi,1843-07-07,1926-01-21,Italy,in recognition of their work on the structure of the nervous system,medicine,1906
Santiago,Ramón y Cajal,1852-05-01,1934-10-17,Spain,in recognition of their work on the structure of the nervous system,medicine,1906
Alphonse,Laveran,1845-06-18,1922-05-18,France,in recognition of his work on the role played by protozoa in causing diseases,medicine,1907
Ilya,Mechnikov,1845-05-15,1916-07-15,Russian Empire (now Ukraine),in recognition of their work on immunity,medicine,1908
Paul,Ehrlich,1854-03-14,1915-08-20,Prussia (now Poland),in recognition of their work on immunity,medicine,1908
Theodor,Kocher,1841-08-25,1917-07-27,Switzerland,"for his work on the physiology, pathology and surgery of the thyroid gland",medicine,1909
Albrecht,Kossel,1853-09-16,1927-07-05,Mecklenburg (now Germany),"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",medicine,1910
Allvar,Gullstrand,1862-06-05,1930-07-28,Sweden,for his work on the dioptrics of the eye,medicine,1911
Alexis,Carrel,1873-06-28,1944-11-05,France,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,medicine,1912
Charles,Richet,1850-08-26,1935-12-04,France,in recognition of his work on anaphylaxis,medicine,1913
Robert,Bárány,1876-04-22,1936-04-08,Austria,for his work on the physiology and pathology of the vestibular apparatus,medicine,1914
Jules,Bordet,1870-06-13,1961-04-06,Belgium,for his discoveries relating to immunity,medicine,1919
August,Krogh,1874-11-15,1949-09-13,Denmark,for his discovery of the capillary motor regulating mechanism,medicine,1920
Archibald V.,Hill,1886-09-26,1977-06-03,United Kingdom,for his discovery relating to the production of heat in the muscle,medicine,1922
Otto,Meyerhof,1884-04-12,1951-10-06,Germany,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle,medicine,1922
Frederick G.,Banting,1891-11-14,1941-02-21,Canada,for the discovery of insulin,medicine,1923
John,Macleod,1876-09-06,1935-03-16,Scotland,for the discovery of insulin,medicine,1923
Willem,Einthoven,1860-05-21,1927-09-29,"Java, Dutch East Indies (now Indonesia)",for his discovery of the mechanism of the electrocardiogram,medicine,1924
Johannes,Fibiger,1867-04-23,1928-01-30,Denmark,for his discovery of the Spiroptera carcinoma,medicine,1926
Julius,Wagner-Jauregg,1857-03-07,1940-09-27,Austria,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica,medicine,1927
Charles,Nicolle,1866-09-21,1936-02-28,France,for his work on typhus,medicine,1928
Christiaan,Eijkman,1858-08-11,1930-11-05,the Netherlands,for his discovery of the antineuritic vitamin,medicine,1929
Sir Frederick,Hopkins,1861-06-20,1947-05-16,United Kingdom,for his discovery of the growth-stimulating vitamins,medicine,1929
Karl,Landsteiner,1868-06-14,1943-06-26,Austrian Empire (now Austria),for his discovery of human blood groups,medicine,1930
Otto,Warburg,1883-10-08,1970-08-01,Germany,for his discovery of the nature and mode of action of the respiratory enzyme,medicine,1931
Sir Charles,Sherrington,1857-11-27,1952-03-04,United Kingdom,for their discoveries regarding the functions of neurons,medicine,1932
Edgar,Adrian,1889-11-30,1977-08-08,United Kingdom,for their discoveries regarding the functions of neurons,medicine,1932
Thomas H.,Morgan,1866-09-25,1945-12-04,USA,for his discoveries concerning the role played by the chromosome in heredity,medicine,1933
George H.,Whipple,1878-08-28,1976-02-01,USA,for their discoveries concerning liver therapy in cases of anaemia,medicine,1934
George R.,Minot,1885-12-02,1950-02-25,USA,for their discoveries concerning liver therapy in cases of anaemia,medicine,1934
William P.,Murphy,1892-02-06,1987-10-09,USA,for their discoveries concerning liver therapy in cases of anaemia,medicine,1934
Hans,Spemann,1869-06-27,1941-09-12,Württemberg (now Germany),for his discovery of the organizer effect in embryonic development,medicine,1935
Sir Henry,Dale,1875-06-09,1968-07-23,United Kingdom,for their discoveries relating to chemical transmission of nerve impulses,medicine,1936
Otto,Loewi,1873-06-03,1961-12-25,Germany,for their discoveries relating to chemical transmission of nerve impulses,medicine,1936
Albert,Szent-Györgyi,1893-09-16,1986-10-22,Austria-Hungary (now Hungary),"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",medicine,1937
Corneille,Heymans,1892-03-28,1968-07-18,Belgium,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,medicine,1938
Gerhard,Domagk,1895-10-30,1964-04-24,Germany (now Poland),for the discovery of the antibacterial effects of prontosil,medicine,1939
Henrik,Dam,1895-02-21,1976-04-17,Denmark,for his discovery of vitamin K,medicine,1943
Edward A.,Doisy,1893-11-13,1986-10-23,USA,for his discovery of the chemical nature of vitamin K,medicine,1943
Joseph,Erlanger,1874-01-05,1965-12-05,USA,for their discoveries relating to the highly differentiated functions of single nerve fibres,medicine,1944
Herbert S.,Gasser,1888-07-05,1963-05-11,USA,for their discoveries relating to the highly differentiated functions of single nerve fibres,medicine,1944
Sir Alexander,Fleming,1881-08-06,1955-03-11,Scotland,for the discovery of penicillin and its curative effect in various infectious diseases,medicine,1945
Ernst B.,Chain,1906-06-19,1979-08-12,Germany,for the discovery of penicillin and its curative effect in various infectious diseases,medicine,1945
Sir Howard,Florey,1898-09-24,1968-02-21,Australia,for the discovery of penicillin and its curative effect in various infectious diseases,medicine,1945
Hermann J.,Muller,1890-12-21,1967-04-05,USA,for the discovery of the production of mutations by means of X-ray irradiation,medicine,1946
Carl,Cori,1896-12-05,1984-10-20,Austria-Hungary (now Czech Republic),for their discovery of the course of the catalytic conversion of glycogen,medicine,1947
Gerty,Cori,1896-08-15,1957-10-26,Austria-Hungary (now Czech Republic),for their discovery of the course of the catalytic conversion of glycogen,medicine,1947
Bernardo,Houssay,1887-04-10,1971-09-21,Argentina,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,medicine,1947
Paul,Müller,1899-01-12,1965-10-12,Switzerland,for his discovery of the high efficiency of DDT as a contact poison against several arthropods,medicine,1948
Walter,Hess,1881-03-17,1973-08-12,Switzerland,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs,medicine,1949
Egas,Moniz,1874-11-29,1955-12-13,Portugal,for his discovery of the therapeutic value of leucotomy in certain psychoses,medicine,1949
Edward C.,Kendall,1886-03-08,1972-05-04,USA,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",medicine,1950
Tadeus,Reichstein,1897-07-20,1996-08-01,Poland,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",medicine,1950
Philip S.,Hench,1896-02-28,1965-03-30,USA,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",medicine,1950
Max,Theiler,1899-01-30,1972-08-11,South Africa,for his discoveries concerning yellow fever and how to combat it,medicine,1951
Selman A.,Waksman,1888-07-22,1973-08-16,Russian Empire (now Ukraine),"for his discovery of streptomycin, the first antibiotic effective against tuberculosis",medicine,1952
Hans,Krebs,1900-08-25,1981-11-22,Germany,for his discovery of the citric acid cycle,medicine,1953
Fritz,Lipmann,1899-06-12,1986-07-24,Germany (now Russia),for his discovery of co-enzyme A and its importance for intermediary metabolism,medicine,1953
John F.,Enders,1897-02-10,1985-09-08,USA,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,medicine,1954
Thomas H.,Weller,1915-06-15,2008-08-23,USA,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,medicine,1954
Frederick C.,Robbins,1916-08-25,2003-08-04,USA,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,medicine,1954
Hugo,Theorell,1903-07-06,1982-08-15,Sweden,for his discoveries concerning the nature and mode of action of oxidation enzymes,medicine,1955
André F.,Cournand,1895-09-24,1988-02-19,France,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,medicine,1956
Werner,Forssmann,1904-08-29,1979-06-01,Germany,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,medicine,1956
Dickinson W.,Richards,1895-10-30,1973-02-23,USA,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,medicine,1956
Daniel,Bovet,1907-03-23,1992-04-08,Switzerland,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",medicine,1957
George,Beadle,1903-10-22,1989-06-09,USA,for their discovery that genes act by regulating definite chemical events,medicine,1958
Edward,Tatum,1909-12-14,1975-11-05,USA,for their discovery that genes act by regulating definite chemical events,medicine,1958
Joshua,Lederberg,1925-05-23,2008-02-02,USA,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,medicine,1958
Severo,Ochoa,1905-09-24,1993-11-01,Spain,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,medicine,1959
Arthur,Kornberg,1918-03-03,2007-10-26,USA,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,medicine,1959
Sir Frank Macfarlane,Burnet,1899-09-03,1985-08-31,Australia,for discovery of acquired immunological tolerance,medicine,1960
Peter,Medawar,1915-02-28,1987-10-02,Brazil,for discovery of acquired immunological tolerance,medicine,1960
Georg,von Békésy,1899-06-03,1972-06-13,Hungary,for his discoveries of the physical mechanism of stimulation within the cochlea,medicine,1961
Francis,Crick,1916-06-08,2004-07-28,United Kingdom,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,medicine,1962
James,Watson,1928-04-06,0000-00-00,USA,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,medicine,1962
Maurice,Wilkins,1916-12-15,2004-10-05,New Zealand,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,medicine,1962
Sir John,Eccles,1903-01-27,1997-05-02,Australia,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,medicine,1963
Alan,Hodgkin,1914-02-05,1998-12-20,United Kingdom,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,medicine,1963
Andrew,Huxley,1917-11-22,2012-05-30,United Kingdom,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,medicine,1963
Konrad,Bloch,1912-01-21,2000-10-15,Germany (now Poland),for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,medicine,1964
Feodor,Lynen,1911-04-06,1979-08-06,Germany,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,medicine,1964
François,Jacob,1920-06-17,2013-04-19,France,for their discoveries concerning genetic control of enzyme and virus synthesis,medicine,1965
André,Lwoff,1902-05-08,1994-09-30,France,for their discoveries concerning genetic control of enzyme and virus synthesis,medicine,1965
Jacques,Monod,1910-02-09,1976-05-31,France,for their discoveries concerning genetic control of enzyme and virus synthesis,medicine,1965
Peyton,Rous,1879-10-05,1970-02-16,USA,for his discovery of tumour-inducing viruses,medicine,1966
Charles B.,Huggins,1901-09-22,1997-01-12,Canada,for his discoveries concerning hormonal treatment of prostatic cancer,medicine,1966
Ragnar,Granit,1900-10-30,1991-03-12,Russian Empire (now Finland),for their discoveries concerning the primary physiological and chemical visual processes in the eye,medicine,1967
Keffer,Hartline,1903-12-22,1983-03-17,USA,for their discoveries concerning the primary physiological and chemical visual processes in the eye,medicine,1967
George,Wald,1906-11-18,1997-04-12,USA,for their discoveries concerning the primary physiological and chemical visual processes in the eye,medicine,1967
Robert W.,Holley,1922-01-28,1993-02-11,USA,for their interpretation of the genetic code and its function in protein synthesis,medicine,1968
H. Gobind,Khorana,1922-01-09,2011-11-09,India,for their interpretation of the genetic code and its function in protein synthesis,medicine,1968
Marshall W.,Nirenberg,1927-04-10,2010-01-15,USA,for their interpretation of the genetic code and its function in protein synthesis,medicine,1968
Max,Delbrück,1906-09-04,1981-03-09,Germany,for their discoveries concerning the replication mechanism and the genetic structure of viruses,medicine,1969
Alfred D.,Hershey,1908-12-04,1997-05-22,USA,for their discoveries concerning the replication mechanism and the genetic structure of viruses,medicine,1969
Salvador E.,Luria,1912-08-13,1991-02-06,Italy,for their discoveries concerning the replication mechanism and the genetic structure of viruses,medicine,1969
Sir Bernard,Katz,1911-03-26,2003-04-20,Germany,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",medicine,1970
Ulf,von Euler,1905-02-07,1983-03-09,Sweden,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",medicine,1970
Julius,Axelrod,1912-05-30,2004-12-29,USA,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",medicine,1970
Earl W.,"Sutherland, Jr.",1915-11-19,1974-03-09,USA,for his discoveries concerning the mechanisms of the action of hormones,medicine,1971
Gerald M.,Edelman,1929-07-01,2014-05-17,USA,for their discoveries concerning the chemical structure of antibodies,medicine,1972
Rodney R.,Porter,1917-10-08,1985-09-06,United Kingdom,for their discoveries concerning the chemical structure of antibodies,medicine,1972
Karl,von Frisch,1886-11-20,1982-06-12,Austria,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,medicine,1973
Konrad,Lorenz,1903-11-07,1989-02-27,Austria,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,medicine,1973
Nikolaas,Tinbergen,1907-04-15,1988-12-21,the Netherlands,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,medicine,1973
Albert,Claude,1898-08-24,1983-05-22,Belgium,for their discoveries concerning the structural and functional organization of the cell,medicine,1974
Christian,de Duve,1917-10-02,2013-05-04,United Kingdom,for their discoveries concerning the structural and functional organization of the cell,medicine,1974
George E.,Palade,1912-11-19,2008-10-07,Romania,for their discoveries concerning the structural and functional organization of the cell,medicine,1974
David,Baltimore,1938-03-07,0000-00-00,USA,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,medicine,1975
Renato,Dulbecco,1914-02-22,2012-02-19,Italy,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,medicine,1975
Howard M.,Temin,1934-12-10,1994-02-09,USA,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,medicine,1975
Baruch S.,Blumberg,1925-07-28,2011-04-05,USA,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,medicine,1976
D. Carleton,Gajdusek,1923-09-09,2008-12-12,USA,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,medicine,1976
Roger,Guillemin,1924-01-11,0000-00-00,France,for their discoveries concerning the peptide hormone production of the brain,medicine,1977
Andrew V.,Schally,1926-11-30,0000-00-00,Poland (now Lithuania),for their discoveries concerning the peptide hormone production of the brain,medicine,1977
Rosalyn,Yalow,1921-07-19,2011-05-30,USA,for the development of radioimmunoassays of peptide hormones,medicine,1977
Werner,Arber,1929-06-03,0000-00-00,Switzerland,for the discovery of restriction enzymes and their application to problems of molecular genetics,medicine,1978
Daniel,Nathans,1928-10-30,1999-11-16,USA,for the discovery of restriction enzymes and their application to problems of molecular genetics,medicine,1978
Hamilton O.,Smith,1931-08-23,0000-00-00,USA,for the discovery of restriction enzymes and their application to problems of molecular genetics,medicine,1978
Allan M.,Cormack,1924-02-23,1998-05-07,South Africa,for the development of computer assisted tomography,medicine,1979
Godfrey N.,Hounsfield,1919-08-28,2004-08-12,United Kingdom,for the development of computer assisted tomography,medicine,1979
Baruj,Benacerraf,1920-10-29,2011-08-02,Venezuela,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,medicine,1980
Jean,Dausset,1916-10-19,2009-06-06,France,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,medicine,1980
George D.,Snell,1903-12-19,1996-06-06,USA,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,medicine,1980
Roger W.,Sperry,1913-08-20,1994-04-17,USA,for his discoveries concerning the functional specialization of the cerebral hemispheres,medicine,1981
David H.,Hubel,1926-02-27,2013-09-22,Canada,for their discoveries concerning information processing in the visual system,medicine,1981
